"";"V1"
"1";"IS - Lag 1 - 2001-12-31 - 2003-01-02"
"2";"IS - Lag 1 - 2003-01-02 - 2004-01-02"
"3";"IS - Lag 1 - 2004-01-02 - 2005-01-03"
"4";"IS - Lag 1 - 2005-01-03 - 2006-01-03"
"5";"IS - Lag 1 - 2006-01-03 - 2007-01-03"
"6";"IS - Lag 1 - 2007-01-03 - 2008-01-02"
"7";"IS - Lag 1 - 2008-01-02 - 2009-01-02"
"8";"IS - Lag 1 - 2009-01-02 - 2010-01-04"
"9";"IS - Lag 1 - 2010-01-04 - 2011-01-03"
"10";"IS - Lag 1 - 2011-01-03 - 2012-01-03"
"11";"IS - Lag 1 - 2012-01-03 - 2013-01-02"
"12";"IS - Lag 1 - 2013-01-02 - 2014-01-02"
